Codigo;Titulo;Autor;Categoria;TotalCopias;CopiasDisponibles;VecesPrestado
1;El Principito;Antoine de Saint Exupéry;4;4;4;18
2;Clean Code;Robert C.Martin;1;2;2;31
3;Cien años de soledad;Gabriel García Márquez;4;5;5;24
4;Introducción a los algoritmos;Cormet et. al;1;3;3;12
5;1984;Gerge Orwell;4;2;2;27
6;El universo en una cáscara de nuez;Stephen Hawking;2;3;3;9
7;Don Quijote de la Mancha;Miguel de Cervantes;4;4;4;15
9;Desing Patterns;Gamma el.al;1;1;1;34
10;Breve Historia del tiempo;Stephen Hawking;2;3;3;6
11;Dune;Frank Herbert;5;2;2;19
12;El hobbit;J.R.R Tolkien;6;4;4;22
13;Fundamentos de bases de datos;Elmasri y Navathe;1;3;3;11
14;La guerra de los mundos;H.G wells;5;2;2;16
15;Sapiens;Yuval Noah Harari;3;3;3;28
16;fundamentos de progra;jackelin;2;2;2;0
